,word,rank,layer
29,остаться,184,1
29,остаться,184,2
29,остаться,184,2
29,остаться,184,3
29,остаться,184,4
29,остаться,184,4
29,остаться,184,4
29,остаться,184,4
29,остаться,184,4
29,остаться,184,5
29,остаться,184,5
29,остаться,184,5
29,остаться,184,5
29,остаться,184,5
29,остаться,184,6
29,остаться,184,6
29,остаться,184,6
29,остаться,184,6
29,остаться,184,7
29,остаться,184,7
29,остаться,184,7
29,остаться,184,7
29,остаться,184,7
29,остаться,184,9
29,остаться,184,9
29,остаться,184,11
29,остаться,184,11
30,совсем,186,0
30,совсем,186,0
30,совсем,186,0
30,совсем,186,0
30,совсем,186,0
30,совсем,186,1
30,совсем,186,1
30,совсем,186,1
30,совсем,186,1
30,совсем,186,1
30,совсем,186,1
30,совсем,186,1
30,совсем,186,1
30,совсем,186,1
30,совсем,186,1
30,совсем,186,1
30,совсем,186,1
30,совсем,186,1
30,совсем,186,1
30,совсем,186,1
30,совсем,186,2
30,совсем,186,3
30,совсем,186,4
30,совсем,186,4
30,совсем,186,5
30,совсем,186,5
30,совсем,186,5
30,совсем,186,5
30,совсем,186,6
30,совсем,186,6
30,совсем,186,6
30,совсем,186,6
30,совсем,186,6
30,совсем,186,7
30,совсем,186,7
30,совсем,186,7
30,совсем,186,7
30,совсем,186,7
30,совсем,186,7
30,совсем,186,8
30,совсем,186,9
30,совсем,186,9
30,совсем,186,11
31,женщина,187,0
31,женщина,187,0
31,женщина,187,0
31,женщина,187,0
31,женщина,187,0
31,женщина,187,0
31,женщина,187,0
31,женщина,187,0
31,женщина,187,0
31,женщина,187,0
31,женщина,187,0
31,женщина,187,0
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,1
31,женщина,187,2
31,женщина,187,3
31,женщина,187,3
31,женщина,187,4
31,женщина,187,4
31,женщина,187,4
31,женщина,187,4
31,женщина,187,4
31,женщина,187,5
31,женщина,187,5
31,женщина,187,5
31,женщина,187,5
31,женщина,187,5
31,женщина,187,5
31,женщина,187,5
31,женщина,187,6
31,женщина,187,6
31,женщина,187,6
31,женщина,187,6
31,женщина,187,6
31,женщина,187,6
31,женщина,187,6
31,женщина,187,6
31,женщина,187,6
31,женщина,187,6
31,женщина,187,6
31,женщина,187,6
31,женщина,187,6
31,женщина,187,6
31,женщина,187,6
31,женщина,187,6
31,женщина,187,7
31,женщина,187,7
31,женщина,187,7
31,женщина,187,7
31,женщина,187,7
31,женщина,187,7
31,женщина,187,7
31,женщина,187,7
31,женщина,187,8
31,женщина,187,8
31,женщина,187,8
31,женщина,187,8
31,женщина,187,8
31,женщина,187,8
31,женщина,187,9
31,женщина,187,9
31,женщина,187,9
31,женщина,187,10
31,женщина,187,10
31,женщина,187,10
31,женщина,187,11
31,женщина,187,11
32,общий,203,0
32,общий,203,0
32,общий,203,0
32,общий,203,0
32,общий,203,0
32,общий,203,0
32,общий,203,1
32,общий,203,1
32,общий,203,1
32,общий,203,1
32,общий,203,1
32,общий,203,1
32,общий,203,1
32,общий,203,1
32,общий,203,1
32,общий,203,1
32,общий,203,1
32,общий,203,2
32,общий,203,3
32,общий,203,4
32,общий,203,4
32,общий,203,4
32,общий,203,5
32,общий,203,5
32,общий,203,5
32,общий,203,5
32,общий,203,5
32,общий,203,6
32,общий,203,6
32,общий,203,6
32,общий,203,6
32,общий,203,7
32,общий,203,7
32,общий,203,9
32,общий,203,9
33,понять,214,0
33,понять,214,0
33,понять,214,0
33,понять,214,0
33,понять,214,1
33,понять,214,1
33,понять,214,1
33,понять,214,1
33,понять,214,1
33,понять,214,1
33,понять,214,1
33,понять,214,1
33,понять,214,1
33,понять,214,1
33,понять,214,1
33,понять,214,1
33,понять,214,1
33,понять,214,1
33,понять,214,1
33,понять,214,2
33,понять,214,3
33,понять,214,4
33,понять,214,4
33,понять,214,5
33,понять,214,5
33,понять,214,5
33,понять,214,6
33,понять,214,6
33,понять,214,6
33,понять,214,7
33,понять,214,7
33,понять,214,9
33,понять,214,10
